latitude,longitude,time,distanceOverGround,headingDesired,headingSkew,headingSub,targetWaypoint,tempSub,totalPower,waterSpeed,day
45.29379,-62.32720667,1417710000,130,315,-2,29,41,2,46709,-2,2
45.34565167,-62.24927333,1417890000,70,279,-2,291,62,2,42453,-2,4
45.34334667,-62.25365,1417760000,128,244,-2,218,62,1,41961,-2,3
45.10734,-62.14204,1417650000,151,304,-2,299,40,3,49014,-2,1
45.23479,-62.26963667,1417690000,143,328,-2,313,41,3,44436,-2,2
45.22886167,-62.263985,1417690000,113,333,-2,341,41,3,44647,-2,2
45.34572833,-62.203765,1417840000,100,48,-2,72,59,1,41616,-2,4
45.30791,-62.31667333,1417820000,178,22,-2,40,59,2,42603,-2,3
44.916065,-62.35794333,1417620000,278,28,-2,30,253,3,52128,-2,1
45.36954833,-62.16406667,1417740000,97,348,-2,356,60,1,45020,-2,2
45.31216833,-62.30384167,1417820000,118,349,-2,12,59,2,42416,-2,3
45.31704833,-62.29040833,1417820000,173,52,-2,66,59,1,42197,-2,3
45.15382167,-62.19032333,1417660000,138,320,-2,336,40,3,47553,-2,1
45.02566,-62.17799167,1417630000,364,57,-2,62,39,3,50940,-2,1
45.02986833,-62.17008833,1417630000,393,57,-2,66,39,3,50880,-2,1
45.15761333,-62.19363833,1417660000,138,309,-2,321,41,3,47420,-2,1
45.36451,-62.21672,1417870000,68,220,-2,238,62,1,37768,-2,4
45.33474833,-62.26807167,1417770000,105,245,-2,236,62,2,41491,-2,3
45.29950667,-62.333095,1417710000,105,318,-2,323,41,2,46934,-2,2
44.96595167,-62.32228167,1417620000,320,87,-2,85,48,4,51952,-2,1
45.32838,-62.23583,1417730000,224,46,-2,110,44,2,47264,-2,2
45.35310667,-62.23670333,1417880000,95,221,-2,262,62,1,40791,-2,4
45.11254333,-62.14688,1417650000,210,303,-2,329,40,3,48878,-2,1
45.34631833,-62.19614,1417730000,155,0,-2,29,44,2,46554,-2,2
45.08238667,-62.11563,1417640000,213,310,-2,324,40,3,49773,-2,1
45.30262167,-62.35443833,1417800000,40,314,-2,283,63,2,41634,-2,3
45.37155833,-62.2048,1417870000,66,217,-2,242,62,1,38020,-2,4
45.14198833,-62.17783167,1417660000,147,314,-2,306,40,3,47973,-2,1
45.02180333,-62.18564667,1417630000,356,57,-2,67,39,3,51001,-2,1
45.373025,-62.21659,1417910000,197,44,-2,35,66,2,41380,-2,4
45.21715,-62.252,1417680000,142,320,-2,327,41,3,45206,-2,2
45.146335,-62.18242667,1417660000,169,315,-2,330,40,3,47824,-2,1
45.10140667,-62.13565,1417650000,191,310,-2,314,40,3,49217,-2,1
45.31746833,-62.311175,1417720000,328,71,-2,70,44,2,47989,-2,2
45.34976333,-62.19132667,1417840000,101,46,-2,59,59,1,41336,-2,4
45.33668667,-62.230555,1417830000,132,59,-2,77,59,1,42138,-2,3
45.375485,-62.19803167,1417860000,56,210,-2,207,62,1,38363,-2,4
45.26889833,-62.303025,1417700000,145,315,-2,323,41,2,44199,-2,2
45.11686667,-62.151775,1417650000,182,309,-2,276,40,3,48735,-2,1
45.33313333,-62.27087667,1417900000,40,271,-2,299,62,2,41622,-2,4
45.05891333,-62.11437,1417640000,351,41,-2,46,39,3,50416,-2,1
45.30217667,-62.33458833,1417820000,164,37,-2,38,59,2,42830,-2,3
45.36871833,-62.16424833,1417740000,108,341,-2,331,60,1,45046,-2,2
45.30970167,-62.34311333,1417720000,118,333,-2,0,41,2,47275,-2,2
45.16145167,-62.19693667,1417670000,164,301,-2,324,41,3,47268,-2,1
