scientificname,longitude,latitude,datecollected,sex,life_stage,weight
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-61.778,44.945,2014-05-15T00:00:00,U,,
Gadus morhua,-61.778,44.945,2014-05-15T00:00:00,U,,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Halichoerus grypus,-59.90942,43.92661,2014-06-14T12:55:00,F,ADULT,137
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-62.86,44.54,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-62.25,44.3,2011-06-08T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-62.86,44.54,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-61.9,44.72,2011-05-17T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-62.86,44.54,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-61.9,44.72,2011-05-17T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-62.86,44.54,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-61.93,44.82,2011-05-17T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-62.86,44.54,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-62.86,44.54,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-61.9,44.72,2011-05-17T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-61.03,44.72,2011-05-16T00:00:00,U,ADULT,
Gadus morhua,-61.93,44.82,2011-05-17T00:00:00,U,ADULT,
Gadus morhua,-62.86,44.54,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.55,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T11:20:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.55,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.55,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T11:15:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T11:20:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.55,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T11:10:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.55,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T11:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T10:00:00,U,ADULT,
Gadus morhua,-63.12,44.55,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.55,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T10:30:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-62.9,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T10:35:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T10:38:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T10:55:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T10:45:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-62.9,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-62.94,44.57,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-62.92,44.57,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-62.92,44.57,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-62.94,44.57,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-09T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-21T11:20:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-63.12,44.56,2011-06-10T00:00:00,U,ADULT,
Gadus morhua,-62.94,44.57,2011-06-09T00:00:00,U,ADULT,
